#,PATH,ID TEST,DESCRIPTION,INPUT KEY,PATH OF JSON TESTS,EXPECTED RESULT,OBSERVATIONS
1,"1,2,4,7",test_store_access_log_not_exists_create_error,Error creating JSON log file that does not exist,f4368d997bf77980f12ee673d998c19c2c65397d7e2e7aee87759709776cd66c,valid_key_1.json,"Raises AccessManagementException: ""Unable to write to file <storeAccessLogs.json>""",Could not find a way to force this error to be checked.
2,"1,2,4,3,6,5,8,11,12",test_store_access_log_not_exists_ok,Creates the JSON log file since it does not exist and adds a new record to the logs,f4368d997bf77980f12ee673d998c19c2c65397d7e2e7aee87759709776cd66c,valid_key_1.json,Creates JSON file <storeAccessLogs.json> with one record,
3,"1,3,6,5,8,11,12",test_store_access_log_exists_ok,Reads JSON log file that already exists to add the new log record to it.,f4368d997bf77980f12ee673d998c19c2c65397d7e2e7aee87759709776cd66c,valid_key_1.json,Adds one more record to JSON file <storeAccessLogs.json> ,
4,"1,2,4,3,6,5,8,11,10",test_store_access_log_not_exists_write_error,Error when writing output access log JSON file,f4368d997bf77980f12ee673d998c19c2c65397d7e2e7aee87759709776cd66c,valid_key_1.json,"Raises AccessManagementException: ""Unable to write to file <storeAccessLogs.json>""",
5,"1,2,3,6,9",test_store_access_log_exists_read_error,JSON Decode Error when reading access log JSON file when file alread exists,f4368d997bf77980f12ee673d998c19c2c65397d7e2e7aee87759709776cd66c,valid_key_1.json,"Raises AccessManagementException: ""JSON Decode Error - Wrong JSON Format""",
